object	seq	name	mp1	mp2	mp3	mp4	mp5	mp6	mp7	mp8	mp9	det_box	progobj	post	bret	mp10	dec_pl
461500	268	Asset sales clearing - modified	R	46	461			MISC						1	R		
461900	269	Gain on asset dispositions - modified	R	46	461			MISC						1	R		
462	48	Gaap Gains From Asset Sales												0	R		
462500	270	GAAP revenue clearg	R	46	462			MISC						1	R		
465	49	Inventory Sales												0	R		
465100	271	Inventory held for resale	R	46	465			MISC						1	R		
47	10	Other Sales												0	R		
471	50	Power Sales												0	R		
471100	272	Power sales	R	47	471			MISC						1	R		
475	51	Sales - Other												0	R		
475100	273	Sales miscellaneous	R	47	475			MISC						1	R		
475190	274	Overpayments - revenue	R	47	475			MISC						1	R		
48	11	Miscellaneous Revenues												0	R		
481	52	Refunds												0	R		
481100	275	Refunds	R	48	481			MISC						1	R		
481110	276	Refunds - employee	R	48	481			MISC						1	R		
481190	277	Miscellaneous refund	R	48	481			MISC						1	R		
482	53	Assessments												0	R		
482100	278	Assessmt payments - open	R	48	482			MISC						1	R		
482110	279	Assessments - commercial	R	48	482			MISC						1	R		
482200	280	Assessmt payments - bonded	R	48	482			MISC						1	R		
483	54	Fines												0	R		
483100	281	Fines - false alarms	R	48	483			MISC						1	R		
483110	282	Fines	R	48	483			MISC						1	R		
484	55	Non-Exchange Transactions												0	R		
484000	283	NSF fees	R	48	484			MISC						1	R		
484100	284	Nonexchange transactions	R	48	484			MISC						1	R		
487	56	General Fund Discretionary													R		
487100	285	General Fund Discretionary Offset	R	48	487			GFD						1	R		
487110	286	General Fund Discretionary Ongoing	R	48	487			GFD				V		1	R		0
487120	287	General Fund Discretionary One-Time	R	48	487			GFD				V		1	R		0
487200	288	General Fund Overhead Offset	R	48	487			OVD						1	R		
487210	289	General Fund Overhead	R	48	487			OVD				V		1	R		0
489	57	Miscellaneous Revenues												0	R		
489000	290	Third party recovery	R	48	489			MISC						1	R		
489010	291	Subrogation	R	48	489			MISC						1	R		
489020	292	Employee contributions	R	48	489			MISC						1	R		
489030	293	Other miscellaneous	R	48	489			MISC						1	R		
489100	294	Pension Recovery	R	48	489			MISC						1	R		0
489500	295	Rents and Reimbursements - non-operating	R	48	489			MISC						1	R		0
489951	296	Temporary - zero bal revenues conversion	R	49	489			SC						1	R		0
489952	297	Temp - zero bal interagency rev conversi	R	49	489			MISC						1	R		0
489953	298	Temporary - payroll rev contrib conv  -D	R	49	489			MISC						1	R		0
489960	299	Interagency revenue conversion	R	49	489			IAREV						1	R		
489961	300	I/A General Fund overhead rev conversion	R	49	489			FNDXFERS						1	R		
489962	301	I/A equipment cash transfers rev convers	R	49	489			IAREV						1	R		
489963	302	I/A federal grants transfers rev convers	R	49	489			FNDXFERS						1	R		
489964	303	I/A other cash transfers rev conversion	R	49	489			FNDXFERS						1	R		
49	12	Transfers, Conversion												0	R		
499	58	Transfers Conversion												0	R		
5	77	External Expenses												0	E		
50	78	Unappropriated Fund Balance												0	E		
500	92	Unappropriated Ending Balance													E		
500001	447	Unappropriated Ending Fund Balance	E	50	500			ENDBAL						1	E		
500002	448	Reserve for Future Expenditures	E	50	500			ENDBAL						1	E		
500003	449	Reserve for Debt Service	E	50	500			ENDBAL						1	E		
51	79	Personal Services												0	E		
511	93	Salaries And Wages												0	E		
511100	450	Regular (perm full time)	E	51	511		BUEXP	PERSONAL						1	E		
511101	451	Regular leave	E	51	511		BUEXP	PERSONAL						1	E		
511102	452	Regular leave payout	E	51	511		BUEXP	PERSONAL						1	E		
511199	453	Payroll Offset -expense	E	51	511		BUEXP	PERSONAL						1	E		
511200	454	Limited term (both part and full time)	E	51	511		BUEXP	PERSONAL						1	E		
511201	455	Limited term leave	E	51	511		BUEXP	PERSONAL						1	E		
511202	456	Limited term payout	E	51	511		BUEXP	PERSONAL						1	E		
511300	457	Part-time - Budgeted	E	51	511		BUEXP	PERSONAL						1	E		
511301	458	Part time leave	E	51	511		BUEXP	PERSONAL						1	E		
511302	459	Part time leave payout	E	51	511		BUEXP	PERSONAL						1	E		
511400	460	Casual ? Unbudgeted (full and part-time)	E	51	511		BUEXP	PERSONAL						1	E		
511500	461	WC supplemental pay ? bureau portion	E	51	511		BUEXP	PERSONAL						1	E		
512	94	Overtime												0	E		
512100	462	Overtime	E	51	512		BUEXP	PERSONAL						1	E		
513	95	Premium Pay												0	E		
513100	463	Premium pay	E	51	513		BUEXP	PERSONAL						1	E		
513200	464	Workers comp - employer share	E	51	513		BUEXP	PERSONAL						1	E		
513300	465	Lump sum payments	E	51	513		BUEXP	PERSONAL						1	E		
513500	466	Holiday Premium 1.5	E	51	513		BUEXP	PERSONAL						1	E		0
514	96	Benefits												0	E		
514100	467	Benefits	E	51	514		BUEXP	PERSONAL						1	E		
514110	468	Self Insured - admin fee	E	54	549		BUEXP	EMS						1	E		
514120	469	Self insured - network access fees	E	54	549		BUEXP	EMS						1	E		
514130	470	Self insured - med claims	E	51	514		BUEXP	PERSONAL						1	E		
514140	471	Self insured - prescription claims	E	51	514		BUEXP	PERSONAL						1	E		
514150	472	Health plan network fees	E	51	514		BUEXP	PERSONAL						1	E		
514160	473	Alternate care network	E	54	549		BUEXP	EMS						1	E		
514170	474	Case management/UR	E	54	549		BUEXP	EMS						1	E		
514200	475	Outside providers	E	51	514		BUEXP	PERSONAL						1	E		
514300	476	Opt-outs (bureau cost)	E	51	514		BUEXP	PERSONAL						1	E		
514500	477	PERS pickup (both the 6% and 9%)	E	51	514		BUEXP	PERSONAL						1	E		
514510	478	PERS pension - tier 1	E	51	514		BUEXP	PERSONAL						1	E		
514520	479	PERS pension - tier 2	E	51	514		BUEXP	PERSONAL						1	E		
514540	480	OPSRP (all - sworn and non-sworn)	E	51	514		BUEXP	PERSONAL						1	E		
514550	481	OPSRP pickup (all - sworn and non-sworn)	E	51	514		BUEXP	PERSONAL						1	E		
514560	482	PERS military pension	E	51	514		BUEXP	PERSONAL						1	E		
514610	483	Social security ER share	E	51	514		BUEXP	PERSONAL						1	E		
514620	484	Medicare ER share	E	51	514		BUEXP	PERSONAL						1	E		
514630	485	Unemployment Claims	E	51	514		BUEXP	PERSONAL						1	E		
514700	486	TriMet payroll tax	E	51	514		BUEXP	PERSONAL						1	E		
514800	487	Trip Reduction Incentive Program (TRIP)	E	51	514		BUEXP	PERSONAL						1	E		
515	97	Open												0	E		
516	98	Open												0	E		
517	99	Open												0	E		
518	100	Open												0	E		
519	101	Leave Accrual													E		
52	80	Services External												0	E		
521	102	Professional Services												0	E		
521000	488	Professional services	E	52	521		BUEXP	EMS						1	E		
521100	489	Consulting	E	52	521		BUEXP	EMS						1	E		
521130	490	Computer consulting	E	52	521		BUEXP	EMS						1	E		
521210	491	Legal	E	52	521		BUEXP	EMS						1	E		
521220	492	Audit	E	52	521		BUEXP	EMS						1	E		
521230	493	Actuarial	E	52	521		BUEXP	EMS						1	E		
521240	494	Claims investigation	E	52	521		BUEXP	EMS						1	E		
521300	495	Purchased labor	E	52	521		BUEXP	EMS						1	E		
521732	496	MHN Caremark	E	52	521		BUEXP	EMS						1	E		
521900	497	Other professional services	E	52	521		BUEXP	EMS						1	E		
521920	498	Medical bills processing	E	52	521		BUEXP	EMS						1	E		
522	103	Utilities												0	E		
522000	499	Utilities	E	52	522		BUEXP	EMS						1	E		
522100	500	Electricity	E	52	522		BUEXP	EMS						1	E		
522200	501	Water - Sewer	E	52	522		BUEXP	EMS						1	E		
522300	502	Natural gas	E	52	522		BUEXP	EMS						1	E		
522400	503	Heating oil	E	52	522		BUEXP	EMS						1	E		
522500	504	Garbage	E	52	522		BUEXP	EMS						1	E		
522600	505	Waste disposal	E	52	522		BUEXP	EMS						1	E		
522700	506	Telephone	E	52	522		BUEXP	EMS						1	E		
523	104	Rentals												0	E		
523000	507	Equipment rental	E	52	523		BUEXP	EMS						1	E		
524	105	Repair & Maintenance												0	E		
524000	508	Repair & maintenance services	E	52	524		BUEXP	EMS						1	E		
524100	509	Outside contract labor	E	52	524		BUEXP	EMS						1	E		
524300	510	Parking lot maintenance	E	52	524		BUEXP	EMS						1	E		
524500	511	Towing	E	52	524		BUEXP	EMS						1	E		
524600	512	Janitorial services	E	52	524		BUEXP	EMS						1	E		
524800	513	Computer repair & maint	E	52	524		BUEXP	EMS						1	E		
525	106	Non-Capital Improvements												0	E		
525000	514	Non-capital improvement	E	52	525		BUEXP	EMS						1	E		
529	107	Other Services												0	E		
529000	515	Miscellaneous services	E	52	529		BUEXP	EMS						1	E		
529001	516	Outgoing Grant-Subrecipients	E	52	529		BUEXP	EMS						1	E		
529002	517	Outgoing Grant - Beneficiary	E	52	529		BUEXP	EMS						1	E		
529003	518	Outgoing loan disbursements	E	52	529		BUEXP	EMS						1	E		
529004	519	Outgoing Grant - Contractor	E	52	529		BUEXP	EMS						1	E		
529005	520	Program income expended	E	52	529		BUEXP	EMS						1	E		
529006	521	Program income offset	E	52	529		BUEXP	EMS						1	E		
529010	522	Printing & repro	E	52	529		BUEXP	EMS						1	E		
529030	523	Advertising	E	52	529		BUEXP	EMS						1	E		
529050	524	Communication	E	52	529		BUEXP	EMS						1	E		
529070	525	Replacement Bus Passes	E	52	529		BUEXP	EMS						1	E		0
529080	526	Postage	E	52	529		BUEXP	EMS						1	E		
529090	527	Freight charges	E	52	529		BUEXP	EMS						1	E		
529095	528	Bank Card Fees	E	52	529		BUEXP	EMS						1	E		0
529100	529	Non-professional services	E	52	529		BUEXP	EMS						1	E		
529210	530	Data processing services	E	52	529		BUEXP	EMS						1	E		
529300	531	Laundry	E	52	529		BUEXP	EMS						1	E		
529400	532	Shop fabrication/wb inventory	E	52	529		BUEXP	EMS						1	E		
529500	533	Taxes	E	52	529		BUEXP	EMS						1	E		
529600	534	Insurance	E	52	529		BUEXP	EMS						1	E		
529700	535	Risk mgmt claims pay	E	52	529		BUEXP	EMS						1	E		
529721	536	Self insd claims pay	E	52	529		BUEXP	EMS						1	E		
529800	537	Local match payments	E	52	529		BUEXP	EMS						1	E		
529900	538	Other misc. services	E	52	529		BUEXP	EMS						1	E		
53	81	Materials External												0	E		
531	108	Office Supplies												0	E		
531000	539	Office supplies	E	53	531		BUEXP	EMS						1	E		
532	109	Operating Supplies												0	E		
532000	540	Operating supplies	E	53	532		BUEXP	EMS						1	E		
532200	541	Gen maintenance supplies	E	53	532		BUEXP	EMS						1	E		
532350	542	Computer supplies - software	E	53	532		BUEXP	EMS						1	E		
532355	543	Computer supplies - hardware	E	53	532		BUEXP	EMS						1	E		
532500	544	Janitorial supplies	E	53	532		BUEXP	EMS						1	E		
532600	545	Fuel	E	53	532		BUEXP	EMS						1	E		
532610	546	Gasoline	E	53	532		BUEXP	EMS						1	E		
532620	547	Diesel	E	53	532		BUEXP	EMS						1	E		
533	110	Repair & Maintenance Supplies												0	E		
533000	548	Repair & maintenance supplies	E	53	533		BUEXP	EMS						1	E		
533100	549	Electrical supplies	E	53	533		BUEXP	EMS						1	E		
533300	550	Construction & building supplies	E	53	533		BUEXP	EMS						1	E		
533400	551	Motor vehicle supply & parts	E	53	533		BUEXP	EMS						1	E		
533600	552	Service & distribution supplies	E	53	533		BUEXP	EMS						1	E		
534	111	Equipment Expensed												0	E		
534000	553	Minor equipment & tools	E	53	534		BUEXP	EMS						1	E		
534200	554	Computer equipment	E	53	534		BUEXP	EMS						1	E		
535	112	Clothing												0	E		
535000	555	Clothing & uniforms	E	53	535		BUEXP	EMS						1	E		
535001	556	Uniforms (dress)	E	53	535		BUEXP	EMS						1	E		
535002	557	Uniforms (turn-out)	E	53	535		BUEXP	EMS						1	E		
535003	558	Uniforms (work)	E	53	535		BUEXP	EMS						1	E		
535004	559	Badges	E	53	535		BUEXP	EMS						1	E		
535005	560	Boots	E	53	535		BUEXP	EMS						1	E		
539	113	Other Supplies												0	E		
539000	561	Other commodities external	E	53	539		BUEXP	EMS						1	E		
539010	562	Storeroom supplies	E	53	539		BUEXP	EMS						1	E		
539100	563	Food	E	53	539		BUEXP	EMS						1	E		
539500	564	Subrecipient purchases over $4,999	E	53	539		BUEXP	EMS						1	E		
539501	565	Subrecipient purchases under $5,000	E	53	539		BUEXP	EMS						1	E		0
539910	566	Gain or loss on inventory	E	53	539		BUEXP	EMS						1	E		
54	82	Other Services And Materials												0	E		
541	114	Education												0	E		
541000	575	Education	E	54	541		BUEXP	EMS						1	E		
541100	576	Tuition	E	54	541		BUEXP	EMS						1	E		
541200	577	Subscriptions & public	E	54	541		BUEXP	EMS						1	E		
541300	578	Dues	E	54	541		BUEXP	EMS						1	E		
542	115	Travel												0	E		
542000	579	Local travel	E	54	542		BUEXP	EMS						1	E		
542100	580	Local mileage	E	54	542		BUEXP	EMS						1	E		
542200	581	Mileage reimbursement	E	54	542		BUEXP	EMS						1	E		
542300	582	Local other	E	54	542		BUEXP	EMS						1	E		
542400	583	Out-of-town travel	E	54	542		BUEXP	EMS						1	E		
543	116	Open												0	E		
544	117	Rentals												0	E		
544000	584	Space rental	E	54	544		BUEXP	EMS						1	E		
544100	585	Office rent	E	54	544		BUEXP	EMS						1	E		
546	118	Refunds												0	E		
546000	586	Refunds	E	54	546		BUEXP	EMS						1	E		
546100	587	Business license fee	E	54	546		BUEXP	EMS						1	E		
546200	588	Utility License Fees	E	54	546		BUEXP	EMS						1	E		0
547	119	Retirement System Payment												0	E		
547000	589	Retirement system payment	E	54	547		BUEXP	EMS						1	E		
547100	590	Fire and Police benefits and refunds	E	54	547		BUEXP	EMS						1	E		
548	120	Operating Leases												0	E		
548000	591	Facilities operating lease	E	54	548		BUEXP	EMS						1	E		
548100	592	Equipment operating lease	E	54	548		BUEXP	EMS						1	E		
549	121	Miscellaneous												0	E		
549000	593	Miscellaneous	E	54	549		BUEXP	EMS						1	E		
549100	594	Moving expense	E	54	549		BUEXP	EMS						1	E		
549200	595	Licenses/permit	E	54	549		BUEXP	EMS						1	E		0
549500	596	Pollution remediation	E	54	549		BUEXP	EMS						1	E		
549800	597	Loan Proceeds Disbursement - Modified Ac	E	54	549		BUEXP	EMS						1	E		0
549910	598	AP discount lost	E	54	549		BUEXP	EMS						1	E		
549920	599	Cash over and short	E	54	549		BUEXP	EMS						1	E		
549990	600	Underpayments - expense	E	54	549		BUEXP	EMS						1	E		
549995	601	Advance recoveries YE Budgetary	E	54	549		BUEXP	EMS						1	E		0
55	83	Expenses For Debt Repayment And Interest												0	E		
550020	602	Intrbk trnsfr exp-TA	E	65	650		FUEXP	FNDXFER						1	E		0
551	122	Principal												0	E		
551100	603	Debt retirement	E	55	551		FUEXP	BOND						1	E		
551200	604	Bonded debt retirement	E	55	551		FUEXP	BOND						1	E		
551250	605	Bond & note refundg-princ- Budget exempt	E	55	551		FUEXP	BOND						1	E		
551275	606	Bond & note adv refund- Budget exempt	E	55	551		FUEXP	BOND						1	E		0
551300	607	Note retirement	E	55	551		FUEXP	BOND						1	E		
551400	608	Taxable debt retirement	E	55	551		FUEXP	BOND						1	E		
555	123	Interest												0	E		
555100	609	Interest	E	55	555		FUEXP	BOND						1	E		
555200	610	Bonded debt interest	E	55	555		FUEXP	BOND						1	E		
555210	611	DNU  Accreted interest	E	55	555		FUEXP	BOND						1	E		0
555250	612	Bond & note refund - int - Budget exempt	E	55	555		FUEXP	BOND						1	E		0
555300	613	Interest on notes	E	55	555		FUEXP	BOND						1	E		
555500	614	DNU  Amortized Premium/Discount on Bonds	E	55	555		FUEXP	BOND						1	E		
555600	615	DNU  Amortized of loss - bond discount	E	55	555		FUEXP	BOND						1	E		
555910	616	Taxable debt interest	E	55	555		FUEXP	BOND						1	E		
557	124	Debt Issuance Costs												0	E		
557100	617	Debt issuance costs	E	55	557		FUEXP	BOND						1	E		
557110	618	Debt issuance costs - Budget exempt	E	55	557		FUEXP	BOND						1	E		
557205	619	Bond and Note Discount - Budget exempt	E	55	557		FUEXP	BOND						1	E		0
557210	620	Bond & Note Discount	E	55	557		FUEXP	BOND						1	E		
56	84	Depreciation - Modified Accrual												0	E		
561	125	Capital													E		
561100	621	Land capital expense mod accrual	E	56	561		BUEXP	CAPITAL						1	E		
561200	622	Land use rights capital exp mod accr	E	56	561		BUEXP	CAPITAL						1	E		
561210	623	Owning rights capital exp mod accr	E	56	561		BUEXP	CAPITAL						1	E		
561300	624	Buildings capital expense modified accru	E	56	561		BUEXP	CAPITAL						1	E		
561400	625	Improvements to land capital expense mod	E	56	561		BUEXP	CAPITAL						1	E		
561500	626	Equipment capital expense modified accru	E	56	561		BUEXP	CAPITAL						1	E		
561600	627	Computer software capital exp mod accr	E	56	561		BUEXP	CAPITAL						1	E		
561610	628	Depr land use right capital exp mod accr	E	56	561		BUEXP	CAPITAL						1	E		
561620	629	Depr owning rights capital exp mod accr	E	56	561		BUEXP	CAPITAL						1	E		
561700	630	Infrastructure capital expense modified	E	56	561		BUEXP	CAPITAL						1	E		
561710	631	Infrastructureother capital expense mod	E	56	561		BUEXP	CAPITAL						1	E		
561800	632	Buildings capital leases -  modified acc	E	56	561		BUEXP	CAPITAL						1	E		
561810	633	Equipment capital leases -  modified acc	E	56	561		BUEXP	CAPITAL						1	E		
562	126	Depreciation												0	E		
562100	634	Mod depr: Land	E	56	562		BUEXP	CAPITAL						1	E		
562200	635	Mod depr: Land use rights	E	56	562		BUEXP	CAPITAL						1	E		
562210	636	Mod depr: Owning rights	E	56	562		BUEXP	CAPITAL						1	E		
562300	637	Mod depr: Buildings	E	56	562		BUEXP	CAPITAL						1	E		
562400	638	Mod depr: Improvements to land	E	56	562		BUEXP	CAPITAL						1	E		
562500	639	Mod depr: Equipment	E	56	562		BUEXP	CAPITAL						1	E		
562600	640	Mod depr: Computer software	E	56	562		BUEXP	CAPITAL						1	E		
562610	641	Mod depr: Depr land use rights	E	56	562		BUEXP	CAPITAL						1	E		
562620	642	Mod depr: Depr owning rights	E	56	562		BUEXP	CAPITAL						1	E		
562700	643	Mod depr: Infrastructure Water	E	56	562		BUEXP	CAPITAL						1	E		
562710	644	Mod depr: Infrastructure Others	E	56	562		BUEXP	CAPITAL						1	E		
562800	645	Mod depr: Buildings capital leases	E	56	562		BUEXP	CAPITAL						1	E		
562810	646	Mod depr: Equipment capital leases	E	56	562		BUEXP	CAPITAL						1	E		
562900	647	Mod depr: Contruction in progress	E	56	562		BUEXP	CAPITAL						1	E		
562950	648	Mod depr: Interfund purchase	E	56	562		BUEXP	CAPITAL						1	E		
562960	649	Mod depr: Interfund purchase	E	56	562		BUEXP	CAPITAL						1	E		
563	127	Capital Outlay - Project Expenses												0	E		
563100	650	Capital expend - PTE - capital projects	E	56	563		BUEXP	CAPITAL						1	E		
