org	name	tbl1	tbl2	tbl3	tbl4	tbl5	tbl6	value1	value2	value3	value4	value5	value6	desc1	desc2	desc3	desc4	type	text1	text2	perm1	perm2	perm3	perm4	perm5	perm6	perm7	perm8	perm9	perm10	perm11	perm12	perm13	perm14	perm15	perm16	perm17	perm18	perm19	perm20	oleptr	desc5	desc6	desc7	desc8	tbl7	tbl8	tbl9	tbl10	tbl11	tbl12	tbl13	tbl14	tbl15	tbl16	value7	value8	value9	value10	value11	value12	value13	value14	value15
AT_09	FY 2015-16 Carryover: Ban-the-Box																	N	This request is to carryover $90,000 for Ban-the-Box Implementation. $100,000 was added to the City Attorney’s FY15-16 budget for Ban-the-Box implementation. The funds will be used for outreach and education to the public, to contract with agencies who provide services to returning citizens, and to contract with BOLI for enforcement. The office estimates $10,000 will spent this fiscal year and the remaining budget of $90,000 should be carried over to the next fiscal year to continue this work.																													Y			INCLUDE	NA	ADDS											
AT_10	FY 2015-16 Carryover: Honors Attorney																	N	"The request is to carryover $120,000 in vacancy savings to extend an Honors Attorney for one year. A well respected and highly experienced Senior Deputy City Attorney was seriously injured and unable to work for over a year. The office held this position open expecting his return but unfortunately, the office just learned he will not be returning. Several attorneys in the office have been handling his time sensitive work but there is a backlog of work accumulating, particularly in the areas of spectator facilities, condemnations, right-of-way legal work and some routine work of the attorneys that have been assisting. The office requests a carryover of a portion of this year’s vacancy savings to extend an Honors Attorney for one year to assist with the backlog. This is a cost effective method for obtaining the
needed assistance. The office rarely has vacancy savings and occasionally requests Compensation Set Aside funds. Even with this carryover, the office will still be contributing vacancy savings to the General Fund rather than requesting additional Compensation Set Aside funds this year."																													Y			INCLUDE	NA	ADDS											
AT_11	Decision Package																	N																														N			INCLUDE													
AT_12	Decision Package																	N																														N			INCLUDE													
AT_13	Decision Package																	N																														N			INCLUDE													
AT_14	Decision Package																	N																														N			INCLUDE													
AT_15	Decision Package																	N																														N			INCLUDE													
AT_16	Decision Package																	N																														N			INCLUDE													
AT_17	Decision Package																	N																														N			INCLUDE													
AT_18	Decision Package																	N																														N			INCLUDE													
AT_19	Decision Package																	N																														N			INCLUDE													
AT_20	Decision Package																	N																														N			INCLUDE													
AT_21	Decision Package																	N																														N			INCLUDE													
AT_22	Decision Package																	N																														N			INCLUDE													
AT_23	Decision Package																	N																														N			INCLUDE													
AT_24	Decision Package																	N																														N			INCLUDE													
AT_25	Decision Package																	N																														N			INCLUDE													
AU	Office of the City Auditor																	C																																														
AU_01	Hearings Office Funding													Hearings Office				N	"The Auditor’s Office requests a correction to the funding mechanism for the Hearings Office. This add package would fully fund the program through the General Fund Overhead Model, bringing it into alignment with City financial policy, creating efficiencies, and stabilizing the resources necessary to operate the Hearings Office. The total package is $301,430.
City financial policy (FIN 2.08.02) contains criteria for inclusion in the General Fund Overhead Model, all of which the Hearings Office meets:
•	If the service provides a benefit to all City bureaus,
•	If the service provides an oversight or regulatory function for City bureaus,
•	If the service exists within the General Fund,
•	If the bureau demand for a service is difficult to predict from one fiscal year to the next, or
•	If the costs of a service are difficult to charge to customer bureaus through a rate times unit model.
Currently, funding is provided through a mix of General Fund allocation, land use permit fees, and per-case charges to bureaus and outside agencies that contract with the Hearings Office. This variable funding creates uncertainty for the Hearings Office budget and causes the Auditor to draw from resources intended for other programs during years when revenues do not cover basic operations of the Hearings Office.
The Hearings Office requires a minimum staffing level to operate. One full-time Hearings Officer, one part-time Hearings Officer, and two Clerks are needed to cover basic operations, including holding hearings and maintaining office hours for the public to file appeals or review records. 
This package includes $75,104 to permanently eliminate interagency agreements between the Hearings Office and bureaus for appeals and code enforcement cases. Council approved one-time General Fund dollars to suspend these interagency agreements for FY 2015-16 as part of the Auditor’s initiative to improve access and eliminate financial barriers for community members seeking the Hearings Office’s services.  This request finalizes that change. 
Fee collection for land use cases, TriMet exclusion appeals and other contracted hearings will continue unless different arrangements are made. These revenues will be used to offset costs associated with services provided. Revenue remaining in the Hearings Office budget will be returned to the General Fund at the end of the fiscal year. 
The request contains an amount of $15,598 in external materials and services. This amount is the difference between existing General Fund support for the Hearings Office ($285,823) and the 3-year average of additional funding needed ($301,430). 
"	This package allows for a base level of funding for Hearings Office services, provides certainty and stability to the budget, reduces administrative burden, and brings the program into compliance with City financial policy.																												Y			INCLUDE	01	ADDS											
AU_02	Independent Police Review Investigators													Independent Police Review				N	"The Auditor’s Office requests $215,624 to fund two complaint investigators for the Independent Police Review. The request stems from the requirements in the City’s settlement agreement with the U.S. Department of Justice and the passage of House Bill 2002, a new State law related to profiling by law enforcement officers. Both the agreement and the new law place demands on IPR that cannot be met at the current staffing level. 

The settlement agreement calls for IPR to conduct meaningful independent investigations and work with the Police Bureau’s Internal Affairs unit to reduce redundant processes that exist in Portland’s officer accountability system. It also calls for all administrative investigations of officer misconduct to be completed within 180 days. The Department of Justice has made clear in a number of meetings with IPR and others at the City that it wants a reduction in the number of complaints dismissed at the intake stage and for IPR to conduct more of its own investigations. 

House Bill 2002, which bans profiling by law enforcement agencies, went into effect Jan. 1, 2016. It broadened the definition of what constitutes profiling to include age, race, ethnicity, gender, gender identity, sexual orientation, political affiliation, religion, homelessness or disability.  The law requires that all complaints alleging that an officer has engaged in profiling be investigated. The provisions of House Bill 2002 go beyond existing Police Bureau directives prohibiting biased-based policing and will increase the number of cases subject to administrative investigation significantly. 

IPR has streamlined its intake process and is reducing areas of overlap with Internal Affairs. IPR also is in the process of reinvigorating a voluntary mediation option for some types of complaints, which could free up investigators for other cases. Gaining efficiencies helps, but they alone are not sufficient to meet the anticipated workload demand.

This request changes the one-time funding for one new investigator approved by Council in the Fall Budget Monitoring Process to ongoing funding and adds a second new investigator position.
"	Two additional complaint investigators will enable IPR to conduct 25-35 investigations per year, complete the complaint intake process in a timelier manner, and continue to monitor cases that are referred to Internal Affairs. The additional staffing will enable the division to reach its long term goal of 75% of investigations completed within 60 days. Without additional investigative resources, the City would be in danger of failing to comply with the settlement agreement and House Bill 2002. The Auditor's Ofice estimates it will complete 30% of cases within 60 days for FY 2016-17 without additional investigators. This target is estimated to increase to 45% if this package is funded.																												Y			INCLUDE	02	ADDS											
AU_03	Council Meeting Captioning													Council Clerk/Contracts Division				N	The Auditor’s Office requests an increase of $20,000 to cover the rising cost of captioning Council meetings and work sessions. In 2013, Council required that all public-facing video posted to the City’s website be captioned. Prior to the policy change, the Council Clerk only captioned regular City Council meetings. The new policy meant that work sessions must also be captioned. Additionally, the length of regular City Council meetings and the number of work sessions have grown substantially since passage of the ordinance, resulting in nearly double the estimated expenditures over historical spending on the captioning contract. Prior to these changes, the expense of captioning Council meetings was approximately $30,000 per year. We estimate that the current year will see between $55,000 and $60,000 in captioning costs. The Auditor has absorbed some of the additional cost but requests $20,000 to comply with Council’s directive to caption all public-facing video.	This package would ensure adequate funding to meet Council's requirement that all public-facing video posted to the City's website be captioned, inlucing continuation of streaming and captioning of Council work sessions.																												Y			INCLUDE	03	ADDS											
AU_04	Audit Services Division Cuts													Audit Services Division				N	"This cut package totals $161,032, or 9 percent of the Audit Services Division’s operating budget.  The package eliminates the only support position in the division, cancels the annual Community Survey, and reduces the budget available to pay for outside experts needed for specific audit subjects. If this package is taken, it would represent a significant shift in how Audit services manages its work, could affect the number of audits produced, and could impact decisions on the annual audit schedule.
The elimination of the Community Outreach and Information Representative position ($118,562) would require work to be redistributed within the division and elsewhere in the Auditor’s Office. This position is responsible for design and production of audit reports, media relations and public information tasks, website maintenance, communication with the public, and other general administrative tasks. These responsibilities would fall primarily to auditors in the division, impacting the time they have available to conduct audits. It could also mean closing the division to the public and directing the public to other divisions in the Auditor’s Office for assistance. 
The annual Community Survey has been conducted by Audit Services since 1990. Because of its long history, the City has access to rich historical and trend data. Council, bureaus and members of the public frequently use the survey data in research, decision-making and communications. It is being offered as a cut because it is informational only and is therefore not core to the mission of the Audit Services division. Eliminating the survey will save $24,500 and will not impact audits, but will take away a valuable decision-making and historical resource for bureaus and the public.
This package also contains a cut of $18,000 to Professional Services in the Audit Services division. This budget is used primarily to pay for outside consultants should the need arise for specialized or external expertise during the course of an audit.

"	"The elimination of this position will increase the administrative and publishing responsibilities for each auditor, which could result in changes to two of Audit Services performance measures: a decrease in the number of audits the division is able to complete within a year and the cost per audit hour. The current number of audits published per year is 12; the Auditor’s Office estimates these cuts could decrease that number to 10 reports per year, including discontinuation of the Community Survey. The current estimated cost per audit hour for FY 2016-17 is $125; it is unknown at this time how much these changes could increase hourly audit costs. 
Discontinuation of the Community Survey may have additional impact on other bureaus and offices that rely on the data from the survey for their own performance measures, planning, and decision making.
"																												Y			INCLUDE	02	REDUCTION											
AU_05	Independent Police Review Cuts													Independent Police Review				N	"This cut package totals $160,100, or approximately 10 percent of the Independent Police Review’s operating budget.  The package eliminates the Senior Management Analyst position in IPR ($140,100), whose primary responsibility is data analysis and reporting. This work includes production of IPR’s annual and quarterly reports, maintenance of the AIM database of complaints, and fulfilling data requests from the Citizen Review Committee and others.  This position also tracks internal complaint resolution and provides data critical to the improvements required under the Department of Justice agreement.
The annual budget for outside police accountability experts to review all officer-involved shootings and in-custody deaths is approximately $60,000. By managing the timing and workflow of cases given to the consultant, the Auditor’s Office should be able to absorb a reduction of $20,000 on an ongoing basis without impacting the contract or reports.
"	"Elimination of the Senior Management Analyst position would result in this work being spread to other employees in IPR, who are already working beyond their capacity, and other divisions in the Auditor’s Office.  Data quality and consistency may suffer as a result of this cut, and information about police complaints may be less readily or timely available. No specific impacts to performance measures are anticipated at this time.
Reduction of the annual budget amount for the outside expert’s review of officer-involved shootings and in-custody deaths will not impact performance.
"																												Y			INCLUDE	03	REDUCTION											
AU_06	Bureau-wide Cuts													Bureau-wide				N	The Auditor's Office proposes cuts to external materials and services across multiple divisions in the office. These reductions will significantly impact the office's ability to contract for outside expert services, cover expenses for supplies, conduct needed upgrades for software, and provide training opportunities for staff. The external materials and services budget allows the Auditor a degree of autonomy and independence that will be eroded if she is required to come before Council to request funding for each project or expenditure she needs to make.	No direct impact to performance measures is expected. Reductions of this size to external materials and services significantly impacts the Auditor's abiility to exercise independence in the conduct of the office's business.																												Y			INCLUDE	01	REDUCTION											
AU_07	Replenish LID Fund for Liens Software																	N	Transfer from the General Fund to replenish the LID Fund for expenses related to implementation of the Assessment and Liens system.																													Y			INCLUDE	NA	ADDS											
AU_08	OMF IA Balancing																	N	"This package includes balancing adjustments for various Office of Management & Finance changes in the FY 2016-17 Budget. These changes include:

- $48,705 for the bureau's allocation of move of the data center from the third floor of the Portland Building; funded from contingency
"																													Y			INCLUDE	NA	ADDS											
AU_09	FY 2015-16 Carryover: Software & Security																	N	The Auditor's Office requests to carryover $90,000 to fund a variety of Auditor Hull Caballero's priorities and needs. $60,000 is requested to fund urgent software replacement projects for the Hearings Office and the Lobbyist Registration program, including $40,000 carried over last year that was not spent. These projects have been delayed by backlogs in Technology Services, lack of responsive proposals via the procurement process, and limitations on program and management staff time in the Auditor's Office. The office has made sufficient progress on these projects to anticipate successful starts to the replacement efforts next fiscal year.  Additional carryover of $30,000 is requested to fund projects and research that were not able to come to fruition this fiscal year, including security enhancements, communications support, and management consulting.																													Y			INCLUDE	NA	ADDS											
AU_10	Political Consultant Registration Software																	N	This package funds an interagency agreement with the Office of Management & Finance (Technology Services Fund) to implement political consultant registration and reporting software.																													Y			INCLUDE	NA	ADDS											
AU_11	Decision Package																	N																														N			INCLUDE													
AU_12	Decision Package																	N																														N			INCLUDE													
AU_13	Decision Package																	N																														N			INCLUDE													
AU_14	Decision Package																	N																														N			INCLUDE													
AU_15	Decision Package																	N																														N			INCLUDE													
AU_16	Decision Package																	N																														N			INCLUDE													
AU_17	Decision Package																	N																														N			INCLUDE													
AU_18	Decision Package																	N																														N			INCLUDE													
AU_19	Decision Package																	N																														N			INCLUDE													
AU_20	Decision Package																	N																														N			INCLUDE													
AU_21	Decision Package																	N																														N			INCLUDE													
AU_22	Decision Package																	N																														N			INCLUDE													
AU_23	Decision Package																	N																														N			INCLUDE													
AU_24	Decision Package																	N																														N			INCLUDE													
AU_25	Decision Package																	N																														N			INCLUDE													
BO	City Budget Office																	C																																														
BO_01	Eliminate LT Asst. Financial Analyst													Budget and Economics				N	The package eliminates a limited term Assistant Financial Analyst position and related materials and services. In addition, the bureau also replaced its existing subscription for economic data received from Moody's with an agreement for the same services from Portland State University. The new agreement will save the bureau $5,000 per year and will provide more localized economic data.	The limited term analyst position is assigned to analyze a portfolio of bureaus and  is responsible for various special projects. If eliminated, the portfolio and special project assignments will be transferred to other analysts. The increased workload on existing analysts will reduce the amount of time available for more in depth analysis and special projects as requested by Council. Given the increased workload, it is also expected that the bureau's customer service rating (a key performance measure) will be negatively affected - dropping from a goal of 4.35 to 4.25 on a 5-point scale.																												Y			INCLUDE	01	REDUCTION											
BO_02	Replace Budget Software System													Budget & Economics				N	The City implemented its current budget preparation software (BRASS) in 2003. Although the software continues to provide the basic tools for budget preparation and monitoring, it is currently operating on out-of-date and soon to be unsupported hardware. The City Budget Office believes it is in the City's best interest to replace BRASS with a software that is more actively supported by the vendor, including opportunities for future enhancements.	Replacing the existing software will ensure that the City remains on a supported environment in the future. The technology surrounding budget implementation software has seen great improvements over the last 11 years since the City purchased BRASS. Implementing these improvements could reduce time spent on data entry and processing, and enhance our capabilities in regards to performance budgeting.																												Y			INCLUDE	01	ADDS											
BO_03	OMF IA Balancing																	N	"This package includes balancing adjustments for various Office of Management & Finance changes in the FY 2016-17 Budget. These changes include:

- $10,479 for the bureau's allocation of move of the data center from the third floor of the Portland Building; funded from contingency
"																													Y			INCLUDE	NA	ADDS											
BO_04	FY 2015-16 Carryover: Process Improvement																	N	In FY 2015-16, CBO has been developing in-house expertise and engaging external contract support to perform process improvement events on City processes. In the fall of 2015, the Office engaged an outside consultant to perform a Kaizen event on the budget process, bringing together stakeholders representing the majority of bureaus and City Council office stakeholders. The event resulted in over two dozen process improvement ideas, many of which have been implemented or are in process. In December 2015, CBO staff facilitated a Government Accountability Transparency and Results (GATR) session on the affordable housing development process. This session resulted in process changes that were developed by PHB and BDS staff and approved by Council in March 2016 to streamline affordable housing development land use reviews. Building on these efforts, CBO planned to pilot an effort to create a pool of expertise and resources that could be engaged by bureaus Citywide to assist with process improvement and process reengineering work and training. This pilot is under development and will need to be continued into FY 2016-17. Models being explored are the Office of Performance, Strategy, and Budget in King County, WA and Denver, CO’s Peak Academy. The carry-over would fund external process improvement facilitation services, process improvement training for existing staff, and the possibility of a part-time, limited term position with Lean, Six-Sigma, or other process improvement/reengineering expertise. The goal of the pilot is to provide a proof of concept and, if initial efforts warrant, develop a Citywide, in-house, interagency-funded consulting and process-improvement training function. CBO believes that this aligns with the mission of a budget office to optimize value across an array of City functions, utilizing City resources most efficiently.																													Y			INCLUDE	NA	ADDS											
BO_05	Decision Package																	N																														N			INCLUDE													
CITY	City of Portland																	C																																														
DR	Bureau of Fire & Police Disability & Retirement																	C																																														
DR_01	Reclassify Positions: Finance & Business Systems													Administration and Support				N	This package converts two 0.75 FTE senior financial analyst positions to a 1.0 FTE senior financial analyst position and a 1.0 FTE management analyst position. The net increase is 0.5 FTE and $24,144. The management analyst will be half-time dedicated to finance and half-time dedicated to business systems (information technology).	FPDR is dependent on one employee, a senior business systems analyst, to maintain and update the FPDR database used to make all benefit payments and to track member and survivor information. The lack of a backup staff person for this role is a serious threat to FPDR continuity of operations. Converting a part-time senior financial analyst position to a full time (but lower grade) management analyst position will add 0.5 FTE to address this risk, while maintaining finance functions at 1.5 FTE, with minimal additional cost. This package supports the City goal to prioritize human and environmental health and safety by providing retirement and disability benefits important to recruiting and retaining the most qualified police officers and fire fighters. The package also addresses three of five themes in the FPDR Strategic Plan (Technology Investment, Member Service Improvement, and Investment in Staff).																												Y			INCLUDE	01	ADDS											
DR_02	OMF IA Balancing																	N	"This package includes balancing adjustments for various Office of Management & Finance changes in the FY 2016-17 Budget. These changes include:
$24,516 for the bureau's allocation of move of the data center from the third floor of the Portland Building; funded from contingency
"																													Y			INCLUDE	NA	REALIGN											
DR_03	Decision Package																	N																														N			INCLUDE													
DR_04	Decision Package																	N																														N			INCLUDE													
DR_05	Decision Package																	N																														N			INCLUDE													
DR_06	Decision Package																	N																														N			INCLUDE													
DR_07	Decision Package																	N																														N			INCLUDE													
DR_08	Decision Package																	N																														N			INCLUDE													
DR_09	Decision Package																	N																														N			INCLUDE													
DR_10	Decision Package																	N																														N			INCLUDE													
DS	Bureau of Development Services																	C																																														
DS_01	Mandatory 5% General Fund Cut													Neighborhood Inspections and Land Use				N	"All City bureaus were directed to develop budget reduction packages totaling 5% of the General Fund allocations in their operating budgets.  BDS receives General Fund support for its local code programs (Neighborhood Inspections and Land Use Services).

For BDS, this 5% cut equates to a reduction of $111,460.  The bureau is meeting this requirement by cutting an Intergovernmental Agreement (IGA) with Portland State University (PSU) intended to fund a scholarship program at PSU for students of color and by making reductions to funds for nuisance abatements.
"	"For Land Use Services (LUS), the 5% reduction will result in a $55,771 reduction in the program’s miscellaneous services budget, cutting the partnership with PSU.  BDS has made many different efforts to attract a more diverse applicant pool for City Planner positions, but continues to get very little response because there are so few people of color in this profession.  Efforts to diversify the profession need to start earlier in the pipeline with encouragement to students of color to pursue urban planning as a profession.  BDS is partnering with PSU to create a scholarship program that would provide internship opportunities for PSU students at BDS in LUS. 

The loss of funding for the IGA would directly and negatively impact BDS’s efforts related to equity, inclusion, and diversity, as well as undermine workforce development efforts.  The PSU Masters in Urban & Regional Planning (MURP) Program is dominated by white students, and the urban planning profession is a predominantly white upper-middle class career path. Funding this scholarship/internship program is critical to making this field an attractive and feasible path for students of color, and a foundational step in diversifying the workforce at BDS, to better reflect the diversity in the community we serve.

For the Neighborhood Inspections Program, the 5% reduction will result in a $55,689 reduction in current nuisance abatement funds.  There will be 27 fewer nuisance abatements completed in FY 2016-2017, with serious health and sanitation concerns at those 27 properties not being addressed and removed.  Reducing this critical basic service for the community will impact services that are vital to communities of color, immigrant and refugee communities and/or people living with a disability.  Nuisance abatements are often completed in non-affluent neighborhoods where responsible parties are unable or unwilling to maintain their properties in compliance with the City’s minimum nuisance standards.  If left unabated, these health/sanitation violations will remain, impacting other properties and general neighborhood livability.  
"																												Y			INCLUDE	01	REDUCTION	ONGOING										
