org	name	tbl1	value1	value2	value3	value4	value5	value6	type	perm1	perm2	perm3	perm4	perm5	perm6	perm7	perm8	perm9
1DEVS2PDBT	Dev Svs to Pens Dbt	OTHR	20000101	99991231					N									
1DEVS2PMEM	Dev Svs to Park Mem	OTHR	20000101	99991231					N									
1DEVS2SEWR	Dev Svs to Sewer Op	OTHR	20000101	99991231					N									
1DEVS2TECH	Dev Svs to Tech Svs	OTHR	20000101	99991231					N									
1EBSS2ACOL	EBS svcs to AssColl	OTHR	20000101	99991231					N									
1EBSS2CABL	EBS Svcs to OCT	OTHR	20000101	99991231					N									
1EBSS2CAMP	EBS Svcs to Camp Fin	OTHR	20000101	99991231					N									
1EBSS2CFLT	EBS svcs to City Flt	OTHR	20000101	99991231					N									
1EBSS2DEVS	EBS svcs to Dev Svs	OTHR	20000101	99991231					N									
1EBSS2ECOM	EBS svcs EmergComm	OTHR	20000101	99991231					N									
1EBSS2ENVR	EBS svcs to Env Rem	OTHR	20000101	99991231					N									
1EBSS2FACS	EBS svcs to Fac Svs	OTHR	20000101	99991231					N									
1EBSS2FGOB	EBS svcs to BFRES GO	OTHR	20000101	99991231					N									
1EBSS2FPDR	EBS svcs to FPDR	OTHR	20000101	99991231					N									
1EBSS2GENF	EBS Svcs to Gen Fund	OTHR	20000101	99991231					N									
1EBSS2GOLF	EBS svcs to Golf	OTHR	20000101	99991231					N									
1EBSS2HLTH	EBS svcs to Hlth Ins	OTHR	20000101	99991231					N									
1EBSS2HYDR	EBS svcs to Hydro	OTHR	20000101	99991231					N									
1EBSS2INSC	EBS svcs to Ins & Cl	OTHR	20000101	99991231					N									
1EBSS2LIDC	EBS svcs to LID Cons	OTHR	20000101	99991231					N									
1EBSS2PCON	EBS svcs to Pks CapC	OTHR	20000101	99991231					N									
1EBSS2PDOP	EBS svcs to P&D	OTHR	20000101	99991231					N									
1EBSS2PFAC	EBS svcs to Pkg Fac	OTHR	20000101	99991231					N									
1EBSS2PIRF	EBS svcs to PIR	OTHR	20000101	99991231					N									
1EBSS2PLOL	EBS svcs to Pk levy	OTHR	20000101	99991231					N									
1EBSS2SEWR	EBS svcs to Sewer	OTHR	20000101	99991231					N									
1EBSS2SFAC	EBS svcsto Spec Fac	OTHR	20000101	99991231					N									
1EBSS2TECH	EBS Svcs to TECH Svc	OTHR	20000101	99991231					N									
1EBSS2TOUR	EBS svcs to Cnv Tour	OTHR	20000101	99991231					N									
1EBSS2TRAN	EBS svcs to PBOT	OTHR	20000101	99991231					N									
1EBSS2WATR	EBS svcs to Water	OTHR	20000101	99991231					N									
1EBSS2WCMP	EBS svcs Work Comp	OTHR	20000101	99991231					N									
1ECOM2CAMP	Emer Com to Camp Fin	OTHR	20000101	99991231					N									
1ECOM2CFLT	BOEC TO FLEET	OTHR	20000101	99991231					N									
1ECOM2FACS	BOEC TO FACILITIES	OTHR	20000101	99991231					N									
1ECOM2GENF	Emer Com to Gen Fund	OTHR	20000101	99991231					N									
1ECOM2HLTH	Emrgy Comm to Health	OTHR	20000101	99991231					N									
1ECOM2PDBT	Emer Com to Pens Dbt	OTHR	20000101	99991231					N									
1ECOM2TECH	Emer Com to Tech Svc	OTHR	20000101	99991231					N									
1ENVR2CAMP	Environ to Camp Fin	OTHR	20000101	99991231					N									
1ENVR2CFLT	BES TO FLEET	OTHR	20000101	99991231					N									
1ENVR2FACS	BES TO FACILITIES	OTHR	20000101	99991231					N									
1ENVR2GENF	Environ to Gen Fund	OTHR	20000101	99991231					N									
1ENVR2PCON	Env Rem to Parks Con	OTHR	20000101	99991231					N									
1ENVR2PDBT	Environ to Pens Dbt	OTHR	20000101	99991231					N									
1ENVR2SEWR	Environ to Sewer Op	OTHR	20130101	99991231					N									
1ENVR2TECH	Environ to Tech Svs	OTHR	20000101	99991231					N									
1FACS2CABL	Fac Svs to Cable	OTHR	20000101	99991231					N									
1FACS2CAMP	Fac Svs to Camp Fin	OTHR	20000101	99991231					N									
1FACS2CFLT	Fac Svs to CityFlt	OTHR	20000101	99991231					N									
1FACS2DEVS	Fac Svs to Dev Svs	OTHR	20000101	99991231					N									
1FACS2EBSS	Fac Svs to EBS Svs	OTHR	20000101	99991231					N									
1FACS2ECOM	Fac Svs to Emer Com	OTHR	20000101	99991231					N									
1FACS2ENVR	Fac Svs to Environ	OTHR	20000101	99991231					N									
1FACS2FGOB	Fac Svs to Fire GO	OTHR	20131101	99991231					N									
1FACS2FPDR	Fac Svs to FPDR	OTHR	20000101	99991231					N									
1FACS2GENF	Fac Svs to Gen Fund	OTHR	20000101	99991231					N									
1FACS2GOLF	Fac Svs to Golf	OTHR	20000101	99991231					N									
1FACS2HLTH	Fac Svs to Hlth Ins	OTHR	20000101	99991231					N									
1FACS2HYDR	Fac Svs to Hydro Op	OTHR	20131101	99991231					N									
1FACS2INSC	Fac Svs to Ins & Cl	OTHR	20000101	99991231					N									
1FACS2LIDC	Fac Svs to LID	OTHR	20131101	99991231					N									
1FACS2PCON	Fac Svs to Parks Con	OTHR	20000101	99991231					N									
1FACS2PDBT	Fac Svs to Pens Dbt	OTHR	20000101	99991231					N									
1FACS2PDOP	Fac Svs to P&D Op	OTHR	20000101	99991231					N									
1FACS2PFAC	Fac Svs to Park Fac	OTHR	20000101	99991231					N									
1FACS2PIRF	Fac Svs to PIR	OTHR	20131101	99991231					N									
1FACS2PLOL	Fac Svs to Park LOL	OTHR	20131101	99991231					N									
1FACS2PSGO	Fac Svs to PSGO	OTHR	20000101	99991231					N									
1FACS2SEWR	Fac Svs to Sewr Op	OTHR	20000101	99991231					N									
1FACS2SFAC	Fac Svs to Spec Fac	OTHR	20000101	99991231					N									
1FACS2SWST	Fac Svs to Solid Wst	OTHR	20000101	99991231					N									
1FACS2TECH	Fac Svs to Tech Svs	OTHR	20000101	99991231					N									
1FACS2TIFR	Fac Svs to TIF Reimb	OTHR	20131101	99991231					N									
1FACS2TRAN	Fac Svs to Tran Op	OTHR	20000101	99991231					N									
1FACS2WATR	Fac Svs to Water	OTHR	20000101	99991231					N									
1FACS2WCMP	Fac Svs to Wkr Cmp	OTHR	20000101	99991231					N									
1FGOB2CAMP	Fire GO to Camp Fin	OTHR	20000101	99991231					N									
1FGOB2CFLT	FIRE GO to CityFlt	OTHR	20150701	99991231					N									
1FGOB2FACS	FIRE GO BOND TO FACI	OTHR	20000101	99991231					N									
1FGOB2GENF	Fire GO to Gen Fund	OTHR	20000101	99991231					N									
1FGOB2GODB	BFRES GO Bd to GO DS	OTHR	20000101	99991231					N									
1FPDR2CAMP	FPDR to Camp Fin	OTHR	20000101	99991231					N									
1FPDR2FRES	FPDR to FPDR Reserve	OTHR	20000101	99991231					N									
1FPDR2GENF	FPDR to Gen Fund	OTHR	20000101	99991231					N									
1FPDR2PDBT	FPDR to Pens Dbt	OTHR	20000101	99991231					N									
1FPDR2TECH	FPDR to Tech Svs	OTHR	20160101	99991231					N									
1FRES2FPDR	FPDR Res to FPDR	OTHR	20000101	99991231					N									
1GENF2ACOL	Gen Fund to Assess	OTHR	20000101	99991231					N									
1GENF2BLSF	Gen Fund to BL Surch	OTHR	20000101	99991231					N									
1GENF2CAMP	Gen Fund to Camp Fin	OTHR	20000101	99991231					N									
1GENF2CFLT	General to Fleet	OTHR	20130101	99991231					N									
1GENF2DEVS	Gen Fund to Dev Svs	OTHR	20000101	99991231					N									
1GENF2EBSS	Gen Fun  to EBS Svcs	OTHR	20000101	99991231					N									
1GENF2ECOM	Gen Fund to Emer Com	OTHR	20000101	99991231					N									
1GENF2ENVR	Gen Fund to Env Rem	OTHR	20140701	99991231					N									
1GENF2FACS	Gen Fund to Fac Svs	OTHR	20000101	99991231					N									
1GENF2FGOB	Cash xfer GF-GO Bond	OTHR	20150101	99991231					N									
1GENF2FPDR	Gen Fund to FPDR	OTHR	20140701	99991231					N									
1GENF2GBND	Gen Fund to Govt Bnd	OTHR	20000101	99991231					N									
1GENF2GOLF	Gen Fund  to Golf	OTHR	20000101	99991231					N									
1GENF2GRES	Gen Fund to Gen Res	OTHR	20000101	99991231					N									
1GENF2HLTH	General to Health	OTHR	20000101	99991231					N									
1GENF2HOUS	Gen Fund to Housing	OTHR	20000101	99991231					N									
1GENF2HYDR	Gen Fund to Hydro Op	OTHR	20131101	99991231					N									
1GENF2INSC	Gen Fund to Ins Cl	OTHR	20140701	99991231					N									
1GENF2LIDC	Gen Fund to LID Cons	OTHR	20000101	99991231					N									
1GENF2PCON	Gen Fund to Prk Cons	OTHR	20000101	99991231					N									
1GENF2PDBT	Gen Fund to Pens Dbt	OTHR	20000101	99991231					N									
1GENF2PDOP	Gen Fund to P&D	OTHR	20140701	99991231					N									
1GENF2PFAC	Gen Fd to Park Fac	OTHR	20000101	99991231					N									
1GENF2PHTS	Gen Fund to Priv Hir	OTHR	20000101	99991231					N									
1GENF2PIRF	Gen Fund to PIR	OTHR	20000101	99991231					N									
1GENF2PLOL	Gen Fund to Park LOL	OTHR	20000101	99991231					N									
1GENF2PLSR	GF to Pol Spec Rev	OTHR	20000101	99991231					N									
1GENF2PMEM	Gen Fund to Park Mem	OTHR	20000101	99991231					N									
1GENF2PROP	Genf 2 Prop Mgt Lic	OTHR	20000101	99991231					N									
1GENF2SEWR	Gen Fund to Sewer Op	OTHR	20000101	99991231					N									
1GENF2SFAC	Gen Fund to Spec Fac	OTHR	20000101	99991231					N									
1GENF2SWST	Gen Fund to Sol Wst	OTHR	20140701	99991231					N									
1GENF2TECH	Gen Fund to Tech Svs	OTHR	20000101	99991231					N									
1GENF2TOUR	Gen Fund to Tourism	OTHR	20140701	99991231					N									
1GENF2TRAN	Gen Fund to Trans Op	OTHR	20000101	99991231					N									
1GENF2TRES	Gen Fund to Trans Re	OTHR	20000101	99991231					N									
1GENF2WATR	Gen Fund to Water	OTHR	20000101	99991231					N									
1GENF2WCMP	Gen Fund to Wrk Comp	OTHR	20140701	99991231					N									
1GLFB2GOLF	Gold Rdmptn to Golf	OTHR	20000101	99991231					N									
1GOLF2CAMP	Golf to Camp Fin	OTHR	20000101	99991231					N									
1GOLF2CFLT	GOLF TO FLEET	OTHR	20000101	99991231					N									
1GOLF2FACS	GOLF TO FACILITIES	OTHR	20000101	99991231					N									
1GOLF2GENF	Golf to Gen Fund	OTHR	20000101	99991231					N									
1GOLF2GLFB	Golf to Glf Bond	OTHR	20000101	99991231					N									
1GOLF2HLTH	Golf to Hlth	OTHR	20000101	99991231					N									
1GOLF2PDBT	Golf to Pens Dbt	OTHR	20000101	99991231					N									
1GOLF2PMEM	Golf to Park Mem	OTHR	20000101	99991231					N									
1GOLF2TECH	Golf to Tech Svs	OTHR	20160101	99991231					N									
1GRES2ECOM	Gen Res to Em Comm	OTHR	20000101	99991231					N									
1GRES2FACS	Gen Res to Fac Svs	OTHR	20000101	99991231					N									
1GRES2GENF	Gen Res to Gen Fund	OTHR	20000101	99991231					N									
1GRES2HLTH	Gen Res to Health	OTHR	20000101	99991231					N									
1GRES2PCON	Gen Res to Prk Cons	OTHR	20000101	99991231					N									
1GRES2TECH	Gen Res to Tech Svcs	OTHR	20000101	99991231					N									
1HBND2HREN	Hyd Bond to Hyd Rnew	OTHR	20000101	99991231					N									
1HLTH2FACS	Health to Fac Fund	OTHR	20000101	99991231					N									
1HLTH2GENF	Health to Gen Fund	OTHR	20000101	99991231					N									
1HLTH2PDBT	Health to Pens Dbt	OTHR	20000101	99991231					N									
1HLTH2PDOP	Health Op to P&D Op	OTHR	20130901	99991231					N									
1HLTH2TECH	Health to Tech Svs	OTHR	20160101	99991231					N									
1HOUS2CDBI	Housing Inv to CDBG	OTHR	20000101	99991231					N									
1HOUS2GBND	Housing to Govt Bnd	OTHR	20000101	99991231					N									
1HOUS2GENF	Housing to Gen Fund	OTHR	20000101	99991231					N									
1HOUS2HLTH	Hsg Invtmt to Health	OTHR	20000101	99991231					N									
1HOUS2HOME	Housing to HOME	OTHR	20000101	99991231					N									
1HOUS2HWAC	HIF to Headwaters	OTHR	20000101	99991231					N									
1HOUS2TIFR	Housing to TIF Reimb	OTHR	20000101	99991231					N									
1HREN2HBND	Hyd Rnew to Hyd Bond	OTHR	20000101	99991231					N									
1HREN2HYDR	Hyd Rnew to Hydro Op	OTHR	20000101	99991231					N									
1HWAC2GENF	Headwaters to Gen FD	OTHR	20000101	99991231					N									
1HYDR2CAMP	Hydro Op to Camp Fin	OTHR	20000101	99991231					N									
1HYDR2CFLT	HYDRO TO FLEET	OTHR	20000101	99991231					N									
1HYDR2FACS	HYDRO TO FACILITIES	OTHR	20000101	99991231					N									
1HYDR2GENF	Hydro Op to Gen Fund	OTHR	20000101	99991231					N									
1HYDR2HBND	Hydro Op to Hyd Bond	OTHR	20000101	99991231					N									
1HYDR2PDBT	Hydro Op to Pens Dbt	OTHR	20000101	99991231					N									
1INSC2CABL	Ins Clms Op to Cable	OTHR	20000101	99991231					N									
1INSC2CAMP	Ins Clms to Camp Fin	OTHR	20000101	99991231					N									
1INSC2CFLT	Ins Clms to City Flt	OTHR	20000101	99991231					N									
1INSC2CHIF	Ins Clms Op to CHIF	OTHR	20000101	99991231					N									
1INSC2DEVS	Ins Clm Op to Dev Sv	OTHR	20000101	99991231					N									
1INSC2EBSS	Ins Clms Op to EBS	OTHR	20000101	99991231					N									
1INSC2ECOM	Ins Clms Op to EmCom	OTHR	20000101	99991231					N									
1INSC2FACS	Ins Clm Op to Fac Sv	OTHR	20000101	99991231					N									
1INSC2FPDR	Ins Clms Op to FPDR	OTHR	20000101	99991231					N									
1INSC2GENF	Ins Clms to Gen Fund	OTHR	20000101	99991231					N									
1INSC2GOLF	Ins Clms Op to Golf	OTHR	20000101	99991231					N									
1INSC2HLTH	Ins Clms to Health	OTHR	20000101	99991231					N									
1INSC2HYDR	Ins Clms to Hydro Op	OTHR	20000101	99991231					N									
1INSC2PBOP	Insurance Claims to	OTHR	20000101	99991231					N									
1INSC2PDBT	Ins Clms to Pens Dbt	OTHR	20000101	99991231					N									
1INSC2PDOP	Ins Clm to P&D Op	OTHR	20000101	99991231					N									
1INSC2PFAC	Ins Clm to Park Fac	OTHR	20000101	99991231					N									
1INSC2PIRF	Ins Clms Op to PIR	OTHR	20000101	99991231					N									
1INSC2SEWR	Ins Clms to Sewer Op	OTHR	20000101	99991231					N									
1INSC2SFAC	Ins Clms to Spec Fac	OTHR	20000101	99991231					N									
1INSC2SWST	Ins Clms to SolidWst	OTHR	20000101	99991231					N									
1INSC2TECH	Ins Clms to Tech Svs	OTHR	20000101	99991231					N									
1INSC2TRAN	Ins Clm Op to Trans	OTHR	20000101	99991231					N									
1INSC2WATR	Ins Clms Op to Water	OTHR	20000101	99991231					N									
1INSC2WCMP	Ins Clm Op to WkrCmp	OTHR	20000101	99991231					N									
1LIDC2CAMP	LID Cons to Camp Fin	OTHR	20000101	99991231					N									
1LIDC2GENF	LID Cons to Gen Fund	OTHR	20000101	99991231					N									
1LIDC2PDBT	LID Cons to Pens Dbt	OTHR	20000101	99991231					N									
1LIDC2SCON	LID Cons to Swr Cons	OTHR	20000101	99991231					N									
1LIDC2TRAN	LID Cons to Trans Op	OTHR	20000101	99991231					N									
1LIDC2WCON	LID Cons to WTR Cons	OTHR	20000101	99991231					N									
1PCON2CAMP	Prk Cons to Camp Fin	OTHR	20000101	99991231					N									
1PCON2CFLT	Cash xfer Pks-Fleet	OTHR	20140701	99991231					N									
1PCON2GBND	Prk Cons to Govt Bnd	OTHR	20000101	99991231					N									
1PCON2GENF	Prk Cons to Gen Fund	OTHR	20000101	99991231					N									
1PCON2HLTH	Prk Cons to Health	OTHR	20000101	99991231					N									
1PCON2PDBT	Prk Cons to Pens Dbt	OTHR	20000101	99991231					N									
1PCON2PIRF	Parks Constr to PIR	OTHR	20140701	99991231					N									
1PCON2SEWR	Prk Cons to Sewer Op	OTHR	20110901	99991231					N									
1PCON2TECH	Parks CIP to Tech	OTHR	20160101	99991231					N									
1PDBT2EBSS	Pension Bond to EBS	OTHR	20000101	99991231					N									
1PDBT2GENF	Pens Dbt to Gen Fund	OTHR	20000101	99991231					N									
1PDBT2TECH	Pens Dbt to Tech Svs	OTHR	20000101	99991231					N									
1PDOP2CABL	P&D to Cable	OTHR	20000101	99991231					N									
1PDOP2CAMP	P&D  to Camp Fin	OTHR	20000101	99991231					N									
1PDOP2CFLT	P&D to CityFlt	OTHR	20000101	99991231					N									
1PDOP2CHIF	P&D to CHIF	OTHR	20000101	99991231					N									
1PDOP2DEVS	P&D to Dev Svcs	OTHR	20000101	99991231					N									
1PDOP2EBSS	P&D to EBS	OTHR	20000101	99991231					N									
1PDOP2ECOM	P&D to EmCom	OTHR	20000101	99991231					N									
1PDOP2FACS	P&D to Fac Sv	OTHR	20000101	99991231					N									
1PDOP2FPDR	P&D to FPDR	OTHR	20000101	99991231					N									
1PDOP2GENF	P&D  to Gen Fund	OTHR	20000101	99991231					N									
1PDOP2GOLF	P&D Svcs to Golf	OTHR	20000101	99991231					N									
1PDOP2GRNT	P&D to Grants	OTHR	20000101	99991231					N									
1PDOP2HLTH	P&D to Health	OTHR	20000101	99991231					N									
1PDOP2HOUS	P&D to Housing Inves	OTHR	20000101	99991231					N									
1PDOP2HYDR	P&D to Hydro Op	OTHR	20000101	99991231					N									
1PDOP2INSC	P&D to Ins Clms	OTHR	20000101	99991231					N									
1PDOP2PCON	P&D to Park Con	OTHR	20000101	99991231					N									
1PDOP2PDBT	P&D  to Pens Dbt	OTHR	20000101	99991231					N									
1PDOP2PFAC	P&D to Park Fac	OTHR	20000101	99991231					N									
1PDOP2PIRF	P&D to PIR	OTHR	20000101	99991231					N									
1PDOP2PMEM	P&D to Park Mem	OTHR	20000101	99991231					N									
1PDOP2SEWR	P&D to Sewer Op	OTHR	20000101	99991231					N									
1PDOP2SFAC	P&D to Spec Fac	OTHR	20000101	99991231					N									
1PDOP2SWST	P&D to SolidWst	OTHR	20000101	99991231					N									
1PDOP2TECH	P&D to Tech Svs	OTHR	20000101	99991231					N									
1PDOP2TIFR	P&D to TIF Reimb	OTHR	20000101	99991231					N									
1PDOP2TRAN	P&D to Tran Op	OTHR	20000101	99991231					N									
1PDOP2WATR	P&D to Water	OTHR	20000101	99991231					N									
1PDOP2WCMP	P&D to WkrCmp	OTHR	20000101	99991231					N									
1PFAC2CAMP	Park Fac to Camp Fin	OTHR	20000101	99991231					N									
1PFAC2GENF	Park Fac to Gen Fund	OTHR	20000101	99991231					N									
1PFAC2HLTH	Parking Fac to Hlth	OTHR	20000101	99991231					N									
1PFAC2PFDR	Park Fac to Prk Debt	OTHR	20000101	99991231					N									
1PFAC2TRAN	Park Fac to Trans Op	OTHR	20000101	99991231					N									
1PHTS2CAMP	Priv Hir to Camp Fin	OTHR	20000101	99991231					N									
1PHTS2GENF	Priv Hir to Gen Fund	OTHR	20000101	99991231					N									
1PIRF2CAMP	PIR to Camp Fin	OTHR	20000101	99991231					N									
1PIRF2FACS	PIR TO FACILITIES	OTHR	20000101	99991231					N									
1PIRF2GENF	PIR to Gen Fund	OTHR	20000101	99991231					N									
1PIRF2PCON	PIR to Pk Constr	OTHR	20000101	99991231					N									
1PIRF2PDBT	PIR to Pens Dbt	OTHR	20000101	99991231					N									
1PIRF2PMEM	PIR to  Park Mem	OTHR	20000101	99991231					N									
1PIRF2WATR	PIR to Water	OTHR	20000101	99991231					N									
1PLOL2CAMP	Park LOL to Camp Fin	OTHR	20000101	99991231					N									
1PLOL2GENF	Park LOL to Gen Fund	OTHR	20000101	99991231					N									
1PLOL2PCON	Park LOL to Prk Cons	OTHR	20000101	99991231					N									
1PLSR2CAMP	Pol SR to Camp Fin	OTHR	20000101	99991231					N									
1PLSR2CFLT	Police SR to Fleet	OTHR	20000101	99991231					N									
1PLSR2GENF	Pol Spec Rev to GF	OTHR	20000101	99991231					N									
1PMEM2GENF	Park Mem to Gen Fund	OTHR	20000101	99991231					N									
1PMEM2PCON	Park Mem to Prk Cons	OTHR	20000101	99991231					N									
1PPAH2GENF	PPA Health to Gen Fu	OTHR	20000101	99991231					N									
1PROP2GENF	Propr Mgmt-Gen Fund	OTHR	20000101	99991231					N									
1PSGO2GENF	PS GO Bond to Gen Fu	OTHR	20000101	99991231					N									
1PSGO2GODB	CT from PSGO to Bond	OTHR	20150101	99991231					N									
1PSGO2TECH	PS GO Bond to TechSv	OTHR	20000101	99991231					N									
1PUBS2CAMP	Pub Safe to Camp Fin	OTHR	20000101	99991231					N									
1PUBS2ECOM	Pub Safe to Emer Com	OTHR	20000101	99991231					N									
1PUBS2GENF	Pub Safe to Gen Fund	OTHR	20000101	99991231					N									
1SCON2SEWR	Swr Cons to Sewer Op	OTHR	20000101	99991231					N									
1SDBT2GENF	Swr Debt to Gen Fund	OTHR	20000101	99991231					N									
1SEWR2CAMP	Sewer Op to Camp Fin	OTHR	20000101	99991231					N									
1SEWR2CFLT	Cash xfer Swr-Fleet	OTHR	20140701	99991231					N									
1SEWR2DEVS	Sewer Op to Dev Sys	OTHR	20000101	99991231					N									
1SEWR2ENVR	Sewer Op to Environ	OTHR	20000101	99991231					N									
1SEWR2GENF	Sewer Op to Gen Fund	OTHR	20000101	99991231					N									
1SEWR2HLTH	Swr Sys Op to Hlth	OTHR	20000101	99991231					N									
1SEWR2LIDC	Sewer Op to LID Cons	OTHR	20000101	99991231					N									
1SEWR2PCON	Sewer Op to Prk Cons	OTHR	20000101	99991231					N									
1SEWR2PDBT	Sewer Op to Pens Dbt	OTHR	20000101	99991231					N									
1SEWR2PMEM	Sewer Op to Park Mem	OTHR	20000101	99991231					N									
1SEWR2PSGO	Sewer Op to PS GO	OTHR	20130701	99991231					N									
1SEWR2SCON	Sewer Op to Swr Cons	OTHR	20000101	99991231					N									
1SEWR2SDBT	Sewer Op to Swr Debt	OTHR	20000101	99991231					N									
1SEWR2SRAT	Sewer Op to Swr Rate	OTHR	20000101	99991231					N									
1SEWR2TECH	Sewer Op to Tech	OTHR	20000101	99991231					N									
1SEWR2TRAN	Sewer Op to Trans Op	OTHR	20000101	99991231					N									
1SEWR2WATR	Sewer Op to Water	OTHR	20000101	99991231					N									
1SFAC2CAMP	Spec Fac to Camp Fin	OTHR	20000101	99991231					N									
1SFAC2FACS	SPECTAT FACS TO FACS	OTHR	20000101	99991231					N									
1SFAC2GENF	Spec Fac to Gen Fund	OTHR	20000101	99991231					N									
1SFAC2TRAN	Spec Fac to Trans Op	OTHR	20000101	99991231					N									
1SOLR2GENF	Comm Solar to Gen Fd	OTHR	20140701	99991231					N									
1SPFI2EAST	SPEC FIN TO C EAST U	OTHR	20000101	99991231					N									
1SPFI2GBND	Spec Fin to Govt Bon	OTHR	20160101	99991231					N									
1SPFI2GODB	Spec Fin to GO DS	OTHR	20000101	99991231					N									
